Domain Value,Domain Name,Domain Refloc,Sort Order,Parent Domain Value,Description,Domain Type,Active
PLIERS,TOOL_TYPE,TOOLS,2,ITEM_TYPE TOOL,,LIST_OF_VALUES,Y
OTHER,TOOL_TYPE,TOOLS,1,ITEM_TYPE TOOL,,LIST_OF_VALUES,Y
MAGNIFYING_GLASS,TOOL_TYPE,TOOLS,5,ITEM_TYPE TOOL,,LIST_OF_VALUES,Y
ORDER,TYPE,DOMAINS,3,,,LIST_OF_VALUES,Y
ADDRESS,TYPE,DOMAINS,2,,,LIST_OF_VALUES,Y
DOMAIN,TYPE,DOMAINS,1,,,LIST_OF_VALUES,Y
ITEM,TYPE,DOMAINS,4,,,LIST_OF_VALUES,Y
PERSON,TYPE,DOMAINS,5,,,LIST_OF_VALUES,Y
BEGINNER,WEAVE_COMPLEXITY,WEAVES,1,COMPLEXITY WEAVE,,LIST_OF_VALUES,Y
EXPERT,WEAVE_COMPLEXITY,WEAVES,3,COMPLEXITY WEAVE,,LIST_OF_VALUES,Y
INTERMEDIATE,WEAVE_COMPLEXITY,WEAVES,2,COMPLEXITY WEAVE,,LIST_OF_VALUES,Y
WIRE_ROUND_HAMMERED,WIRE_TYPE,WIRES,6,RAW_INGREDIENT_TYPE WIRE,,LIST_OF_VALUES,Y
WIRE_ROUND,WIRE_TYPE,WIRES,1,RAW_INGREDIENT_TYPE WIRE,,LIST_OF_VALUES,Y
WIRE_SQUARE,WIRE_TYPE,WIRES,3,RAW_INGREDIENT_TYPE WIRE,,LIST_OF_VALUES,Y
WIRE_RECTANGULAR,WIRE_TYPE,WIRES,2,RAW_INGREDIENT_TYPE WIRE,,LIST_OF_VALUES,Y
WIRE_HALFROUND,WIRE_TYPE,WIRES,5,RAW_INGREDIENT_TYPE WIRE,,LIST_OF_VALUES,Y
WIRE_TWISTED,WIRE_TYPE,WIRES,4,RAW_INGREDIENT_TYPE WIRE,,LIST_OF_VALUES,Y
